Queue Warning,Real-time Traveler Information,Incident Management,Dynamic Lane Merge,Variable Speed Limit,Automated Enforcement,Construction Vehicle Entrance/ Exit Warning,Temporary Ramp Metering,Performance Measurement
0,1,0,1,0,0,0,0,0
1,1,0,1,1,0,0,0,0
1,1,0,0,1,0,0,0,0
1,1,0,0,1,0,0,1,0
1,1,0,0,1,0,0,0,0
1,1,1,0,1,0,0,0,1
0,1,0,0,1,1,0,0,0
0,0,0,0,0,0,0,1,0
1,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0
1,1,1,0,1,1,0,0,1
1,1,1,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1
